14:50:52.479 -> deg: 135, a: 434, D: 10.21, t: 980169, 
14:50:52.995 -> deg: 135, a: 434, D: 10.71, t: 980672, 
14:50:53.464 -> deg: 135, a: 434, D: 10.33, t: 981175, 
14:50:53.984 -> deg: 135, a: 434, D: 10.39, t: 981678, 
14:50:54.500 -> deg: 135, a: 434, D: 10.44, t: 982181, 
14:50:54.966 -> deg: 135, a: 434, D: 10.49, t: 982684, 
14:50:55.482 -> deg: 135, a: 434, D: 10.06, t: 983187, 
14:50:56.001 -> deg: 135, a: 435, D: 11.04, t: 983690, 
14:50:56.473 -> deg: 135, a: 434, D: 10.61, t: 984193, 
14:50:56.987 -> deg: 135, a: 434, D: 11.09, t: 984696, 
14:50:57.486 -> deg: 135, a: 434, D: 11.14, t: 985199, 
14:50:58.001 -> deg: 135, a: 434, D: 10.28, t: 985702, 
14:50:58.472 -> deg: 135, a: 434, D: 10.76, t: 986205, 
14:50:58.990 -> deg: 135, a: 434, D: 10.39, t: 986708, 
14:50:59.464 -> deg: 135, a: 434, D: 10.44, t: 987212, 
14:50:59.981 -> deg: 135, a: 435, D: 10.44, t: 987715, 
14:51:00.499 -> deg: 135, a: 433, D: 10.99, t: 988218, 
14:51:00.968 -> deg: 135, a: 435, D: 11.26, t: 988721, 
14:51:01.483 -> deg: 135, a: 435, D: 11.52, t: 989224, 
14:51:01.998 -> deg: 135, a: 435, D: 11.09, t: 989727, 
14:51:02.466 -> deg: 135, a: 434, D: 11.14, t: 990230, 
14:51:02.980 -> deg: 135, a: 434, D: 10.71, t: 990733, 
14:51:03.496 -> deg: 135, a: 434, D: 10.76, t: 991236, 
14:51:03.963 -> deg: 135, a: 434, D: 11.04, t: 991739, 
14:51:04.478 -> deg: 135, a: 434, D: 10.87, t: 992242, 
14:51:04.993 -> deg: 135, a: 434, D: 10.94, t: 992745, 
14:51:05.465 -> deg: 135, a: 435, D: 11.42, t: 993248, 
14:51:05.978 -> deg: 135, a: 434, D: 11.47, t: 993751, 
14:51:06.496 -> deg: 135, a: 434, D: 11.95, t: 994254, 
14:51:06.966 -> deg: 135, a: 435, D: 11.52, t: 994757, 
14:51:07.483 -> deg: 135, a: 434, D: 12.24, t: 995260, 
14:51:07.952 -> deg: 135, a: 434, D: 11.64, t: 995763, 
14:51:08.497 -> deg: 135, a: 434, D: 11.21, t: 996267, 
14:51:08.968 -> deg: 135, a: 434, D: 11.26, t: 996770, 
14:51:09.484 -> deg: 135, a: 434, D: 11.31, t: 997273, 
14:51:09.954 -> deg: 135, a: 434, D: 11.35, t: 997776, 
14:51:10.469 -> deg: 135, a: 435, D: 11.42, t: 998279, 
14:51:10.989 -> deg: 135, a: 435, D: 12.12, t: 998782, 
14:51:11.455 -> deg: 135, a: 434, D: 12.38, t: 999286, 
14:51:11.972 -> deg: 135, a: 434, D: 11.95, t: 999789, 
14:51:12.490 -> deg: 135, a: 435, D: 12.45, t: 1000292, 
14:51:12.959 -> deg: 135, a: 434, D: 12.00, t: 1000795, 
14:51:13.475 -> deg: 135, a: 435, D: 11.64, t: 1001298, 
14:51:13.991 -> deg: 135, a: 434, D: 12.12, t: 1001801, 
14:51:14.459 -> deg: 135, a: 435, D: 12.17, t: 1002304, 
14:51:14.975 -> deg: 135, a: 435, D: 11.74, t: 1002807, 
14:51:15.492 -> deg: 135, a: 435, D: 11.79, t: 1003310, 
14:51:15.960 -> deg: 135, a: 434, D: 11.85, t: 1003813, 
14:51:16.475 -> deg: 135, a: 434, D: 12.33, t: 1004316, 
14:51:16.990 -> deg: 135, a: 434, D: 12.83, t: 1004819, 
14:51:17.458 -> deg: 135, a: 434, D: 12.88, t: 1005322, 
14:51:17.972 -> deg: 135, a: 434, D: 12.88, t: 1005825, 
14:51:18.486 -> deg: 135, a: 434, D: 12.93, t: 1006328, 
14:51:18.957 -> deg: 135, a: 434, D: 12.50, t: 1006831, 
14:51:19.471 -> deg: 135, a: 434, D: 12.55, t: 1007334, 
14:51:19.988 -> deg: 135, a: 435, D: 12.60, t: 1007837, 
14:51:20.456 -> deg: 135, a: 434, D: 12.65, t: 1008340, 
14:51:20.972 -> deg: 135, a: 435, D: 12.71, t: 1008844, 
14:51:21.448 -> deg: 135, a: 434, D: 12.28, t: 1009347, 
14:51:21.967 -> deg: 135, a: 435, D: 12.77, t: 1009850, 
14:51:22.485 -> deg: 135, a: 434, D: 13.25, t: 1010353, 
14:51:22.955 -> deg: 135, a: 434, D: 13.31, t: 1010856, 
14:51:23.473 -> deg: 135, a: 434, D: 12.88, t: 1011359, 
14:51:23.944 -> deg: 135, a: 434, D: 13.58, t: 1011862, 
